datetime,storage_acft
6/23/38,18690597.7
6/24/38,18771002.9
6/25/38,18850767.1
6/26/38,18945475.8
6/27/38,19055278.8
6/28/38,19148000
6/29/38,19248853.4
6/30/38,19344797
7/1/38,19443603
7/2/38,19518000
7/3/38,19592397
7/4/38,19686998.2
7/5/38,19774507.3
7/6/38,19849504.3
7/7/38,19911053.1
7/8/38,19969468.1
7/9/38,20019000
7/10/38,20064718.1
7/11/38,20106622.6
7/12/38,20138372.6
7/13/38,20169046.9
7/14/38,20194640.6
7/15/38,20216406.3
7/16/38,20234312.5
7/17/38,20250953.1
7/18/38,20267593.7
7/19/38,20279165
7/20/38,20293353.1
7/21/38,20303667.5
7/22/38,20313997.6
7/23/38,20321729.4
7/24/38,20325603.1
7/25/38,20330752.4
7/26/38,20341082.5
7/27/38,20342373.8
7/28/38,20344956.3
7/29/38,20344956.3
7/30/38,20344956.3
7/31/38,20341082.5
8/1/38,20341082.5
8/2/38,20334626.2
8/3/38,20330752.4
8/4/38,20324311.9
8/5/38,20312706.3
8/6/38,20312706.3
8/7/38,20308832.5
8/8/38,20308832.5
8/9/38,20302376.2
8/10/38,20295935.7
8/11/38,20292061.9
8/12/38,20285605.6
8/13/38,20275291.3
8/14/38,20258640.6
8/15/38,20256078.1
8/16/38,20253515.6
8/17/38,20248406.2
8/18/38,20242000
8/19/38,20235593.8
8/20/38,20233046.9
8/21/38,20229203.1
8/22/38,20224078.1
8/23/38,20215125
8/24/38,20208718.8
8/25/38,20201046.9
8/26/38,20190796.9
8/27/38,20179281.3
8/28/38,20171593.7
8/29/38,20160078.1
8/30/38,20147281.2
8/31/38,20138372.6
9/1/38,20125675.7
9/2/38,20111707.5
9/3/38,20101553.1
9/4/38,20091383.2
9/5/38,20087585
9/6/38,20093925.7
9/7/38,20107893.8
9/8/38,20130760.6
9/9/38,20154953.1
9/10/38,20171593.7
9/11/38,20194640.6
9/12/38,20215125
9/13/38,20238156.3
9/14/38,20259921.9
9/15/38,20277873.8
9/16/38,20293353.1
9/17/38,20316564.3
9/18/38,20338500
9/19/38,20352688.1
9/20/38,20363002.4
9/21/38,20372041.3
9/22/38,20378497.6
9/23/38,20383646.9
9/24/38,20387520.6
9/25/38,20387520.6
9/26/38,20387520.6
9/27/38,20387520.6
9/28/38,20386229.4
9/29/38,20383646.9
9/30/38,20379773.1
10/1/38,20374623.8
10/2/38,20372041.3
10/3/38,20361726.9
10/4/38,20359144.4
10/5/38,20348814.3
10/6/38,20344956.3
10/7/38,20335917.5
10/8/38,20328185.7
10/9/38,20313997.6
10/10/38,20297226.9
10/11/38,20279165
10/12/38,20263765.6
10/13/38,20252234.4
10/14/38,20245843.8
10/15/38,20238156.3
10/16/38,20229203.1
10/17/38,20222796.9
10/18/38,20216406.3
10/19/38,20208718.8
10/20/38,20198484.4
10/21/38,20190796.9
10/22/38,20181843.8
10/23/38,20174156.2
10/24/38,20163921.9
10/25/38,20154953.1
10/26/38,20146000
10/27/38,20134574.3
10/28/38,20120606.2
10/29/38,20110436.3
10/30/38,20096468.1
10/31/38,20076143.8
11/1/38,20062175.7
11/2/38,20052021.2
11/3/38,20029154.4
11/4/38,20010116.8
11/5/38,19988521.2
11/6/38,19965654.4
11/7/38,19935175.7
11/8/38,19917393.8
11/9/38,19892000
11/10/38,19870744.5
11/11/38,19854493.9
11/12/38,19834504.9
11/13/38,19810746.9
11/14/38,19790742.7
11/15/38,19770753.7
11/16/38,19757005.5
11/17/38,19757005.5
11/18/38,19752000.6
11/19/38,19755754.3
11/20/38,19757005.5
11/21/38,19755754.3
11/22/38,19746995.7
11/23/38,19742006.1
11/24/38,19742006.1
11/25/38,19742006.1
11/26/38,19737001.2
11/27/38,19733247.6
11/28/38,19730745.1
11/29/38,19730745.1
11/30/38,19727006.7
12/1/38,19720750.6
12/2/38,19715745.7
12/3/38,19712007.3
12/4/38,19707002.4
12/5/38,19699495.1
12/6/38,19701997.6
12/7/38,19699495.1
12/8/38,19696992.7
12/9/38,19695756.7
12/10/38,19698243.9
12/11/38,19699495.1
12/12/38,19712007.3
12/13/38,19699495.1
12/14/38,19696992.7
12/15/38,19685746.9
12/16/38,19688249.4
12/17/38,19690751.8
12/18/38,19694505.5
12/19/38,19701997.6
12/20/38,19709504.9
12/21/38,19710756.1
12/22/38,19714494.5
12/23/38,19713243.3
12/24/38,19714494.5
12/25/38,19718248.2
12/26/38,19723253.1
12/27/38,19725755.5
12/28/38,19725755.5
12/29/38,19723253.1
12/30/38,19725755.5
12/31/38,19725755.5
1/1/39,19727006.7
1/2/39,19727006.7
1/3/39,19724504.3
1/4/39,19723253.1
1/5/39,19722001.8
1/6/39,19713243.3
1/7/39,19708253.7
1/8/39,19709504.9
1/9/39,19709504.9
1/10/39,19708253.7
1/11/39,19701997.6
1/12/39,19699495.1
1/13/39,19696992.7
1/14/39,19693254.3
1/15/39,19694505.5
1/16/39,19695756.7
1/17/39,19694505.5
1/18/39,19692003.1
