datetime,release volume_acft
7/24/36,22214.876
7/25/36,22214.876
7/26/36,22214.876
7/27/36,22214.876
7/28/36,22214.876
7/29/36,22214.876
7/30/36,21986.7769
7/31/36,22016.5289
8/1/36,21818.1818
8/2/36,21818.1818
8/3/36,21570.2479
8/4/36,21143.8017
8/5/36,20826.4463
8/6/36,20826.4463
8/7/36,20826.4463
8/8/36,20876.0331
8/9/36,20826.4463
8/10/36,20132.2314
8/11/36,19438.0165
8/12/36,19289.2562
8/13/36,19239.6694
8/14/36,19239.6694
8/15/36,19239.6694
8/16/36,19239.6694
8/17/36,19239.6694
8/18/36,19239.6694
8/19/36,19239.6694
8/20/36,19140.4959
8/21/36,19140.4959
8/22/36,19239.6694
8/23/36,19239.6694
8/24/36,19239.6694
8/25/36,18495.8678
8/26/36,19239.6694
8/27/36,19239.6694
8/28/36,19239.6694
8/29/36,19140.4959
8/30/36,19140.4959
8/31/36,19140.4959
9/1/36,19140.4959
9/2/36,19140.4959
9/3/36,19140.4959
9/4/36,19140.4959
9/5/36,19140.4959
9/6/36,19140.4959
9/7/36,19140.4959
9/8/36,19636.3636
9/9/36,18991.7355
9/10/36,19140.4959
9/11/36,17851.2397
9/12/36,19239.6694
9/13/36,19239.6694
9/14/36,19487.6033
9/15/36,19894.2149
9/16/36,19239.6694
9/17/36,19160.3306
9/18/36,18644.6281
9/19/36,19090.9091
9/20/36,19090.9091
9/21/36,18763.6364
9/22/36,18049.5868
9/23/36,18049.5868
9/24/36,17851.2397
9/25/36,17851.2397
9/26/36,17752.0661
9/27/36,17157.0248
9/28/36,16988.4298
9/29/36,16512.3967
9/30/36,16512.3967
10/1/36,16641.3223
10/2/36,16383.4711
10/3/36,16442.9752
10/4/36,16512.3967
10/5/36,16512.3967
10/6/36,16046.281
10/7/36,14836.3636
10/8/36,14697.5207
10/9/36,15094.2149
10/10/36,14707.438
10/11/36,12694.2149
10/12/36,14429.7521
10/13/36,14380.1653
10/14/36,14380.1653
10/15/36,14082.6446
10/16/36,14211.5703
10/17/36,14380.1653
10/18/36,13983.4711
10/19/36,13983.4711
10/20/36,14082.6446
10/21/36,14102.4793
10/22/36,13884.2975
10/23/36,13685.9504
10/24/36,14102.4793
10/25/36,14310.7438
10/26/36,13001.6529
10/27/36,14152.0661
10/28/36,15034.7107
10/29/36,12932.2314
10/30/36,12644.6281
10/31/36,12337.1901
11/1/36,12347.1074
11/2/36,12366.9422
11/3/36,12614.876
11/4/36,12783.4711
11/5/36,12912.3967
11/6/36,12347.1074
11/7/36,12406.6116
11/8/36,12267.7686
11/9/36,12654.5455
11/10/36,12148.7603
11/11/36,12257.8512
11/12/36,12079.3388
11/13/36,12912.3967
11/14/36,12000
11/15/36,13467.7686
11/16/36,12347.1074
11/17/36,12029.7521
11/18/36,11791.7355
11/19/36,11752.0661
11/20/36,11682.6446
11/21/36,11395.0413
11/22/36,11355.3719
11/23/36,11771.9008
11/24/36,11573.5537
11/25/36,10512.3967
11/26/36,9996.69421
11/27/36,10433.0579
11/28/36,10046.281
11/29/36,10413.2231
11/30/36,10492.562
12/1/36,10373.5537
12/2/36,9897.52066
12/3/36,9937.19008
12/4/36,10135.5372
12/5/36,9361.98347
12/6/36,9153.71901
12/7/36,9917.35537
12/8/36,9957.02479
12/9/36,9897.52066
12/10/36,10066.1157
12/11/36,9887.60331
12/12/36,9401.65289
12/13/36,8995.04132
12/14/36,9768.59504
12/15/36,9887.60331
12/16/36,9877.68595
12/17/36,10016.5289
12/18/36,9798.34711
12/19/36,9768.59504
12/20/36,9560.33058
12/21/36,9818.18182
12/22/36,9937.19008
12/23/36,9887.60331
12/24/36,9818.18182
12/25/36,9966.94215
12/26/36,9679.33884
12/27/36,9728.92562
12/28/36,10353.719
12/29/36,10780.1653
12/30/36,10968.595
12/31/36,10611.5703
1/1/37,7279.33884
1/2/37,9679.33884
1/3/37,8727.27273
1/4/37,10016.5289
1/5/37,10135.5372
1/6/37,9699.17355
1/7/37,9719.00826
1/8/37,10909.0909
1/9/37,9520.66116
1/10/37,7735.53719
1/11/37,10016.5289
1/12/37,9609.91736
1/13/37,9679.33884
1/14/37,9540.49587
1/15/37,9520.66116
1/16/37,9133.8843
1/17/37,8519.00826
1/18/37,9619.83471
1/19/37,9699.17355
1/20/37,9966.94215
1/21/37,9875.70248
1/22/37,10006.6116
1/23/37,9242.97521
1/24/37,8231.40496
1/25/37,9877.68595
1/26/37,10016.5289
